!GEAR.DAT - Gear data file - JW 960204 (Update from PM 960201)
!-------------------------------------------------------------
!A Few Notes:
!This file is an update of Paolo's Gear.Dat file, to include nearly all gear and
!other stuff I could find in various sourcebooks, both FASA-published and from
!the net. A small number of things are still omitted mainly because I just couldn't
!get myself to do absolutely _everything_ :) I added another category to the
!firearms, to show which accessories are included off-the-shelf with each weapon.
!Also, the cyberdecks and related equipment have *not* been updated to VR 2.0
!standards (yet).
!                                                                       -Gurth
! Types:
!-------
0-1|Edged weapon|7|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|
0-2|Bow and crossbow|7|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|
0-3|Firearms|9|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|
0-4|Rockets and Missiles|6|Intelligence|Damage|Weight|Availability|$Cost|Street Index|
0-5|Ammunition|6|Concealability|Damage|Weight|Availability|$Cost|Street Index|
0-6|Firearms Accessories|7|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-7|Explosives|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-8|Clothing and Armor|7|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|
0-9|S+S Vision Enhancers|6|Concealability|Magnification|Weight|Availability|$Cost|Street Index|
0-10|Surveillance and Security|5|Concealability|Weight|Availability|$Cost|Street Index|
0-11|Cyberdecks|9|Persona|Hardening|Memory|Storage|Load|I/O|Availability|$Cost|Street Index|
0-12|Cyberdeck Other|3|Availability|$Cost|Street Index|
0-13|Biotech|5|Rating|Availability|Weight|$Cost|Street Index|
0-14|Lifestyle|5|Concealability|Weight|Availability|$Cost|Street Index|
0-15|Magical Equipment|3|Availability|$Cost|Street Index|
0-16|Extras|1|$Cost|
0-17|Cars|9|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|
0-18|Vehiclegear|3|Availability|$Cost|Street Index|
0-19|VehicleFire|8|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|
0-20|Chips|6|Type|Rating|Memory|Availability|$Cost|Street Index|
0-21|Stuff With Ratings|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-22|Drugs|6|Addiction|Tolerance|Strength|Availability|$Cost|Street Index|
0-23|Vehicle modifications|3|$Cost|Equipment|CF|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Ares Monosword                 1|3|1|(STR+3)M|2|4/24hrs|1000|1|
4-* Antidote Patch 2               13|2|6/72hrs|-|100|2|
4-* Antidote Patch 3               13|3|6/72hrs|-|150|2|
4-* Antidote Patch 4               13|4|6/72hrs|-|200|2|
4-* Antidote Patch 5               13|5|6/72hrs|-|250|2|
4-* Antidote Patch 6               13|6|6/72hrs|-|300|2|
4-* Antidote Patch 7               13|7|6/72hrs|-|350|2|
4-* Antidote Patch 8               13|8|6/72hrs|-|400|2|
3-Stimulant Patch
4-* Stimulant Patch 1              13|1|2/24hrs|-|25|1|
4-* Stimulant Patch 2              13|2|2/24hrs|-|50|1|
4-* Stimulant Patch 3              13|3|2/24hrs|-|75|1|
4-* Stimulant Patch 4              13|4|2/24hrs|-|100|1|
4-* Stimulant Patch 5              13|5|2/24hrs|-|125|1|
4-* Stimulant Patch 6              13|6|2/24hrs|-|150|1|
3-Tranq Patch
4-* Tranq Patch 1                  13|1|4/48hrs|-|20|2|
4-* Tranq Patch 2                  13|2|4/48hrs|-|40|2|
4-* Tranq Patch 3                  13|3|4/48hrs|-|60|2|
4-* Tranq Patch 4                  13|4|4/48hrs|-|80|2|
4-* Tranq Patch 5                  13|5|4/48hrs|-|100|2|
4-* Tranq Patch 6                  13|6|4/48hrs|-|120|2|
4-* Tranq Patch 7                  13|7|4/48hrs|-|140|2|
4-* Tranq Patch 8                  13|8|4/48hrs|-|160|2|
4-* Tranq Patch 9                  13|9|4/48hrs|-|180|2|
4-* Tranq Patch 10                 13|10|4/48hrs|-|200|2|
3-* Trauma Patch                   13|-|4/48hrs|-|500|4|
2-Gene-Tech
3-Antibac
4-* Antibac Level 1                13|-|4/48hrs|-|500|1|
4-* Antibac Level 2                13|-|4/48hrs|-|500|1|
4-* Antibac Level 3                13|-|4/48hrs|-|500|1|
4-* Antibac Level 4                13|-|4/48hrs|-|1000|1|
4-* Antibac Level 5                13|-|4/48hrs|-|1000|1|
4-* Antibac Level 6                13|-|4/48hrs|-|1000|1|
4-* Antibac Level 7                13|-|4/48hrs|-|1500|1|
4-* Antibac Level 8                13|-|4/48hrs|-|1500|1|
4-* Antibac Level 9                13|-|4/48hrs|-|1500|1|
4-* Antibac Level 10               13|-|4/48hrs|-|2500|1|
3-Binder 
4-* Binder 1                       13|-|4/32hrs|-|300|1|
4-* Binder 2                       13|-|4/32hrs|-|300|1|
4-* Binder 3                       13|-|4/32hrs|-|300|1|
4-* Binder 4                       13|-|4/32hrs|-|600|1|
4-* Binder 5                       13|-|4/32hrs|-|600|1|
4-* Binder 6                       13|-|4/32hrs|-|600|1|
4-* Binder 7                       13|-|4/32hrs|-|900|1|
4-* Binder 8                       13|-|4/32hrs|-|900|1|
4-* Binder 9                       13|-|4/32hrs|-|900|1|
4-* Binder 10                      13|-|4/32hrs|-|1500|1|
3-Compounds
4-* ACTH (6 doses)                 13|-|5/12hrs|-|100|1|
4-* Atropine (1 dose)              13|-|5/12hrs|-|600|1|
4-* Carcerands                     13|-|4/10days|-|see Text|2|
4-* Corrosive Compound 1           13|4|5/48hrs|1000|2|
4-* Corrosive Compound 4           13|4|8/7days|4000|4|
4-* Cyanide (1 dose)               13|-|3/48hrs|-|360|.5|
4-* Dikote TM (100 cm^3)           13|-|6/14days|-|1000|10| 
4-* DMSO (1 dose)                  13|-|2/12hrs|-|10|1.5|
4-* Hyper (1 dose)                 13|-|4/24hrs|-|180|.9|
4-* MAO (1 dose)                   13|-|5/36hrs|-|280|2|
4-* MAO Inhibitors (1 dose)        13|-|?|60|2.5|
4-* Oxygenated Fluorocarbons       13|-|4/48hrs|-|750|1|
4-* Ruthenium Polymers (1 m^3)     13|-|5/14days|-|10000|7.5|
4-* Doom (1 dose)                  13|-|14/30days|-|500|5|
4-* Gamma-Anthrax (1 dose)         13|-|14/30days|-|180|6|  
4-* Myco-Protein                   13|-|always|-|25|1|
3-Gene Therapy
4-* Gene Cleansing                 13|-|6/30days|-|50000|2.5|
4-* Genetic Correction             13|-|6/30days|-|60000|2.5|
4-* Gene Reconstruct/Healing       13|-|6/30days|-|100000|2.5|
4-* Other Gene Therapy             13|-|6/30days|-|50000|2.5|
4-* Leonization                    13|-|6/30days|2000000|2.5|
3-Immunization
4-* Single Immunization            13|-|6/20days|-|40000|2| 
4-* Full Spectrum Immunization     13|-|6/20days|-|300000|2|
3-Zeta-Interpheron
4-* Zeta-Interpheron 1             13|-|4/32hrs|-|400|2|
4-* Zeta-Interpheron 2             13|-|4/32hrs|-|400|2|
4-* Zeta-Interpheron 3             13|-|4/32hrs|-|400|2|
4-* Zeta-Interpheron 4             13|-|4/32hrs|-|800|2|
4-* Zeta-Interpheron 5             13|-|4/32hrs|-|800|2|
4-* Zeta-Interpheron 6             13|-|4/32hrs|-|800|2|
4-* Zeta-Interpheron 7             13|-|4/32hrs|-|1200|2|
4-* Zeta-Interpheron 8             13|-|4/32hrs|-|1200|2|
4-* Zeta-Interpheron 9             13|-|4/32hrs|-|1200|2|
4-* Zeta-Interpheron 10            13|-|4/32hrs|-|2000|2|
!
1-Drugs (per dose)
2-Depressants
3-* Alcohol (bottle)               22|2M|3|50|always|10|.8|
3-* Barbiturates                   22|4M+3P|3|5|4/3hrs|1|.8|
3-* Benzodiazepines                22|2M+2P|5|5|4/3hrs|1|.9|
3-* Butaqualide                    22|5M|3|10|5/1hr|20|2.5|
3-* Chloral Hydrate                22|4M+3P|3|5|5/4hrs|2|1|
3-* Diamond-Four                   22|2P|2|10|10/48hrs|1500|3.5|
3-* FoolKiller                     22|5P|2|10|8/3hrs|35|2.5|
3-* Genesios Three                 22|2M|5|20|14/14days|1000|8.5|
3-* Glutethimide                   22|3M+4P|4|3|5/4hrs|3|1|
3-* Marijuana (ingested)           22|3M|3|10|3/1hr|20|.5|
3-* Marijuana (smoked)             22|3M|3|10|3/1hr|4|.5|
3-* Methaqualone                   22|4M+4P|4|2|4/3hrs|3|1.2|
3-* Musk                           22|3M|3|20|3/1hr|250|2|
3-* Nicotine (pack of cigarettes)  22|3M|1|20|always|2|.8|
3-* NuYou                          22|6M|3|10|4/2hrs|350|3|
3-* Paxium                         22|2M|4|20|3/1hr|5|2.5|
3-* Schwarzeneine                  22|6P|4|5|8/3hrs|45|3.5|
3-* Shades                         22|5M|2|5|4/1hr|30|2|
3-* Sonniene                       22|4M|3|5|4/1hr|80|3|
2-Hallucinogens
3-* Ecstacy                        22|4M|4|20|5/7hrs|150|4|
3-* LSD (one tab)                  22|1M|2|4|4/7hrs|5|1.5|
3-* LSD (100 tabs)                 22|1M|2|4|4/7hrs|200|1.5|
3-* MDA, MDMA, other amphetamines  22|2M|2|6|4/7hrs|10|1.7|
3-* Mescaline                      22|2M|2|4|4/5hrs|80|2|
3-* Phencyclidine                  22|5M|4|2|8/14hrs|25|2.5|
3-* Ribopropylmethionine           22|8P|2|2|10/7hrs|100|3|
3-* Zen                            22|5M|3|10|5/10hrs|120|3|
2-Narcotics
3-* Heroin                         22|5M+5P|3|3|5/2hrs|20|2.5|
3-* Hydromorphone                  22|4M+4P|5|7|5/6hrs|250|1.5|
3-* Meperidine                     22|4M+4P|5|4|6/6hrs|500|2.5|
3-* Methadone                      22|2M+3P|3|5|5/6hrs|50|2|
3-* Morphine                       22|4M+4P|4|10|4/3hrs|150|1.25|
3-* Opium                          22|4M+4P|3|15|6/24hrs|50|1.25|
2-Stimulants
3-* Amphetamines (50 tablets)      22|5P|3|6|4/3hrs|75|1.5|
3-* Brown Study                    22|1M|4|10|6/6hrs|35|3|
3-* Caffeine (100 tablets)         22|1M|3|50|always|5|1|
3-* Cocaine                        22|6P|3|5|4/1hr|10|2|
3-* Endorphins                     22|4P|4|5|6/3hrs|30|3|
3-* J                              22|1M|1|50|10/3hrs|600|4|
3-* Kamikaze                       22|4P|2|4|5/4days|50|5|
3-* Methylphenidate                22|3P|5|4|4/3hrs|25|1.8|
3-* Phenmetrazine (10 tablets)     22|5P|4|5|5/3hrs|75|1.5|
3-* Spaz                           22|5P|1|5|8/24hrs|10|1.5|
3-* Triphetamines (50 tablets)     22|2M|4|5|5/3hrs|25|1.5|
!
1-Magical equipment
2-Foci
3-Specific Spell Focus            
4-* Specific Spell Focus 1         15|4/48hrs|45000|2| 
4-* Specific Spell Focus 2         15|4/48hrs|90000|2| 
4-* Specific Spell Focus 3         15|4/48hrs|135000|2| 
4-* Specific Spell Focus 4         15|4/48hrs|180000|2| 
4-* Specific Spell Focus 5         15|4/48hrs|225000|2| 
4-* Specific Spell Focus 6         15|4/48hrs|270000|2| 
3-Spell Type Focus               
4-* Spell Type Focus 1             15|5/48hrs|75000|2|
3-* Spell Type Focus 2             15|5/48hrs|150000|2|
3-* Spell Type Focus 3             15|5/48hrs|225000|2|
3-* Spell Type Focus 4             15|5/48hrs|300000|2|
3-* Spell Type Focus 5             15|5/48hrs|375000|2|
3-* Spell Type Focus 6             15|5/48hrs|450000|2|
3-Spirit Focus                 
4-* Spirit Focus 1                 15|4/48hrs|60000|2|
4-* Spirit Focus 2                 15|4/48hrs|120000|2|
4-* Spirit Focus 3                 15|4/48hrs|180000|2|
4-* Spirit Focus 4                 15|4/48hrs|240000|2|
4-* Spirit Focus 5                 15|4/48hrs|300000|2|
4-* Spirit Focus 6                 15|4/48hrs|360000|2|
3-Power Focus                   
4-* Power Focus 1                  15|6/72hrs|105000|2|
4-* Power Focus 2                  15|6/72hrs|210000|2|
4-* Power Focus 3                  15|6/72hrs|315000|2|
4-* Power Focus 4                  15|6/72hrs|420000|2|
4-* Power Focus 5                  15|6/72hrs|525000|2|
4-* Power Focus 6                  15|6/72hrs|630000|2|
3-Spell Lock                     
4-* Spell Lock                     15|2/48hrs|45000|2|
3-Weapon Focus                
4-* Weapon Focus 1,Reach 1         15|8/72hrs|290000|3|
4-* Weapon Focus 2,Reach 1         15|8/72hrs|380000|3|
4-* Weapon Focus 3,Reach 1         15|8/72hrs|470000|3|
4-* Weapon Focus 4,Reach 1         15|8/72hrs|560000|3|
4-* Weapon Focus 5,Reach 1         15|8/72hrs|650000|3|
4-* Weapon Focus 6,Reach 1         15|8/72hrs|740000|3|
4-* Weapon Focus 1,Reach 2         15|8/72hrs|390000|3|
4-* Weapon Focus 2,Reach 2         15|8/72hrs|480000|3|
4-* Weapon Focus 3,Reach 2         15|8/72hrs|570000|3|
4-* Weapon Focus 4,Reach 2         15|8/72hrs|660000|3|
4-* Weapon Focus 5,Reach 2         15|8/72hrs|750000|3|
4-* Weapon Focus 6,Reach 2         15|8/72hrs|840000|3|
2-Magical supplies
3-General Materials
4-* Ally Conjuring Materials       15|(Force)/36hrs|1000xUnit|1|
4-* Elemental Conjuring Materials  15|(Force)/24hrs|1000xForce|1| 
4-* Fetish Focus                   15|3/26hrs|3000xRating|1|
4-* Medicine Lodge Materials       15|(Rating)/24hrs|500xRating|1|
4-* Ward Casting Materials         15|(Force)/36hrs|1000xUnit|1|
4-* Watcher Casting Materials      15|(Force)/36hrs|1000xUnit|1|
3-Hermetic library
3-* Disk                           15|(Rating)/7days|1000x(Rating^2)|2|
3-* Chip                           15|(Rating)/7days|1200x(Rating^2)|2|
3-* Hardcopy                       15|(Rating)/14days|2000x(Rating^2)|3|
3-Expendable fetishes
3-* Combat                         15|2/24hrs|20|1|
3-* Detection                      15|2/24hrs|5|1|
3-* Healing                        15|2/24hrs|50|1|
3-* Illusion                       15|2/24hrs|10|1|
3-* Manipulation                   15|2/24hrs|30|1|
3-Reusable fetishes
3-* Combat                         15|3/24hrs|200|1|
3-* Detection                      15|3/24hrs|50|1|
3-* Healing                        15|3/24hrs|500|1|
3-* Illusion                       15|3/24hrs|100|1|
3-* Manipulation                   15|3/24hrs|300|1|
3-Ritual sorcery materials
3-* Detection                      15|3/24hrs|100xForce|1|
3-* Healing                        15|3/24hrs|500xForce|1|
3-* Illusion                       15|3/24hrs|100xForce|1|
3-* Manipulation                   15|3/24hrs|1000xForce|1|
3-Enchanting materials
4-Herbals
5-* Herbals Raw                    15|-|50|-|
5-* Herbals Refined                15|-|100|-|
5-* Herbals Radical                15|-|200|-|
4-Crystals
5-* Crystals Raw                   15|-|100|-|
5-* Crystals Refined               15|-|200|-|
5-* Crystals Radical               15|-|400|-|
4-Semi-precious Gems
5-* Sprecious Gems Raw             15|-|200|-|
5-* Sprecious Gems Refined         15|-|400|-|
5-* Sprecious Gems Radical         15|-|800|-|
4-Precious Gems
5-* Precious Gems Raw              15|-|500|-|
5-* Precious Gems Refined          15|-|1000|-|
5-* Precious Gems Radical          15|-|2000|-|
4-Iron
5-* Iron Raw                       15|-|50|-|
5-* Iron Refined                   15|-|100|-|
5-* Iron Radical                   15|-|200|-|
4-Copper
5-* Copper Raw                     15|-|100|-|
5-* Copper Refined                 15|-|200|-|
5-* Copper Radical                 15|-|400|-|
4-Silver
5-* Silver Raw                     15|-|300|-|
5-* Silver Refined                 15|-|600|-|
5-* Silver Radical                 15|-|1200|-|
4-Gold
5-* Gold Raw                       15|-|10000|-|
5-* Gold Refined                   15|-|20000|-|
5-* Gold Radical                   15|-|40000|-|
4-Mercury
5-* Mercury Raw                    15|-|600|-|
5-* Mercury Refined                15|-|1200|-|
5-* Mercury Radical                15|-|2400|-|
4-Tin
5-* Tin Raw                        15|-|30|-|
5-* Tin Refined                    15|-|60|-|
5-* Tin Radical                    15|-|120|-|
4-Lead
5-* Lead Raw                       15|-|30|-|
5-* Lead Refined                   15|-|60|-|
5-* Lead Radical                   15|-|120|-|
4-Orichalcum 
5-* 1 Unit Orichalcum              15|-|88000|-|
3-Spell formulae
4-* Force L                        15|-|50xForce|-|
4-* Force M                        15|-|100xForce|-|
4-* Force S                        15|-|500xForce|-|
4-* Force D                        15|-|1000xForce|-|
!
1-Vehicles
2-Cars
3-* BMW i985/24                    17|4/8|80/220|2|0|2|1|12/6days|125000|2|
3-* BMW 9018s                      17|3/8|90/280|4|2|2|3|50/25days|500000|2|
3-* BMW Burowagen HSR              17|3/10|50/145|3|1|2|4|90/45days|900000|2|
3-* Cadence Industries Wanderer    17|6/10|35/105|2|2|3|3|5/2days|50000|1|
3-* Chrysler-Nissan Jackrabbit     17|3/8|25/75|1|0|5|1|2/1day|15000|1|
3-* Chrysler-Nissan Python Turbo   17|3/8|65/195|2|0|3|2|8/4days|85000|2|
3-* Crowder                        17|5/10|25/55|1|1|6|1|2/1day|9000|.75|
3-* Dune Buggy                     17|5/4|40/120|3|0|1|1|2/1day|15000|1|
3-* EMC Carrona                    17|3/8|35/105|1|0|4|2|2/1day|15000|1|
3-* EMC Intracity E                17|2/6|35/50|1|0|3/6|1|2/1day|8500|.75|
3-* EMC Serena                     17|4/8|35/90|2|0|4|2|2/1day|19500|1|
3-* Eurocar 3000                   17|3/8|60/180|2|0|3|3|7/3days|75000|2|
3-* Eurocar Westwind 2000          17|3/8|70/210|2|0|2|3|10/5days|100000|2|
3-* Ford Americar                  17|4/8|35/105|2|0|2|2|2/1day|20000|1|
3-* Honda-GM 3220 ZX               17|4/8|40/120|2|0|2|1|3/2days|30000|1|
3-* Honda-GM 3220 ZX Turbo         17|4/8|50/150|2|0|1|2|4/2days|45000|1|
3-* Honda Metrocar                 17|4/10|20/60|1|0|5|0|2/1day|7000|.75|
3-* Leyland-Zil Tsarina            17|4/8|25/75|1|0|5|1|2/1day|10000|1|
3-* Max Interceptor                17|3/8|65/240|2|2|2|2|14/7days|140000|2|
3-* Mercedes E160                  17|4/8|50/120|2|3|4|2|3/1day|26000|1|
3-* Mercedes ER350                 17|3/8|80/210|2|3|3|2|14/7days|140000|2|
3-* Mercedes L800                  17|3/8|70/170|5|9|3|4|45/22days|450000|2|
3-* Mitsubishi Nightsky            17|4/8|45/120|5|3|4|4|25/12days|250000|2|
3-* Mitsubishi Runabout            17|4/8|25/75|1|0|5|1|2/1day|10000|1|
3-* New American Autoworks Roadcar 17|4/8|35/105|1|0|3|1|2/1day|11000|1|
3-* New American Motor's Drifter   17|4/8|35/105|3|1|2|2|9/4days|90000|2|
3-* New American Motors Armadillo  17|6/10|35/105|4|3|1|1|8/4days|85000|2|
3-* New American Motors Nautilus   17|6/10|35/105|2|1|1|0|3/1day|32000|1|
3-* Porsche 996/37                 17|4/8|80/260|2|0|3|1|20/10days|200000|2|
3-* Rolls-Royce Phaeton            17|4/4|60/180|5|6|2|4|50/25days|500000|2|
3-* Saab Dynamite 778TDI           17|4/8|80/250|2|3|1|3|25/12days|250000|2|
3-* Takaya Daimyo                  17|3/8|65/200|2|0|4|3|4/2days|44000|1|
3-* Toyo-Chevrolet '51 Chevy       17|3/7|40/120|2|0|5|1|3/1day|35000|1|
3-* Toyo-Chrysler Omega            17|4/8|50/150|2|0|2|1|2/1day|20000|1|
3-* Toyota Avante                  17|3/8|95/285|2|1|1|3|48/24days|480000|2|
3-* Toyota Elite                   17|4/8|40/120|4|0|2|4|12/6days|125000|1|
3-* Volkswagon Electra             17|3/6|20/60|1|0|5|0|2/1day|8000|.75|
3-* VW Impuls                      17|3/8|35/90|1|0|5|2|2/1day|12000|1|
3-* VW Integra                     17|4/8|50/100|2|0|4|2|2/1day|14000|1|
2-Bikes
3-* All-Terrain Bike (bicycle)     17|3|special|1|0|6|-|2/1day|650|.75|
3-* Ashigaru                       17|3/8|40/95|1|0|6|1|2/1day|3500|.75|
3-* Bermuda                        17|3/5|60/205|2|0|2|1|2/1day|15000|1|
3-* BMW Blitzen 2025               17|3/4|70/210|3|6|1|2|2/1day|15-20000|1|
3-* BMW Blitzen 2050               17|3/4|95/285|3|6|1|2|2/1day|25000|1|
3-* BMW R60 Euro                   17|3/6|35/130|2|3|3|1|2/1day|11000|1|
3-* BMW RG75 III                   17|3/3|35/100|2|0|3|0|2/1day|14000|1|
3-* Brennan Cycles "Ares"          17|3/7|40/125|1|1|1|1|2/1day|21000|1|
3-* Brennan "Hermes"               17|3/6|30/95|1|0|2|0|2/1day|12500|1|
3-* Darkwing                       17|4/4|40/135|2|1|3|1|2/1day|9000|.75|
3-* Dodge Scoot                    17|3/6|20/60|1|0|4|0|2/1day|2000|.75|
3-* Entertainment Systems Papoose  17|3/6|30/90|1|0|5|0|2/1day|6000|.75|
3-* Harley-Davidson Brawler        17|5/7|64/192|4|6|1|2|2/1day|26000|1|
3-* Harley-Davidson Scorpion       17|4/5|50/150|3|3|2|2|2/1day|15000|1|
3-* Harley-Davidson Thundergod     17|4/5|50/150|1|0|3|2|2/1day|15000|1|
3-* Honda Viking                   17|3/5|50/150|4|3|1|2|2/1day|17000|1|
3-* Hyundai Offroader              17|4/2|60/180|2|0|2|1|2/1day|12500|1|
3-* Gaz-Niki White Eagle           17|3/3|60/180|3|0|1|0|2/1day|15000|1|
3-* Kundalina Roadworks "Dart"     17|4/8(3/6)|55/160|1|1|3|1|2/1day|10000|1|
3-* Kundalina Roadworks Shiva      17|2/6|70/210|1|1|2|2|2/1day|12000|1|
3-* Kundalina "Torpedo"            17|4/6(3/5)|65/190|1|2|3|2|3/1day|36000|1|
3-* Messerschmitt A200             17|2/10|50/220|1|0|2|0|3/1day|29000|1|
3-* Mitsubishi Portabike           17|3/9|10/35|1|0|7|0|2/1day|250|.75|
3-* MZ E250CM                      17|4/6|35/100|1|0|2|0|2/1day|4200|.75|
3-* Nissan Stallion                17|4|80/200|4|2|2(5)|1|2/1day|25000|1|
3-* Pedicab (bicycle)              17|3/7|10/30|1|0|10|0|2/1day|1200|.75|
3-* Scion Technologies Dunemaster  17|4/3|45/135|2|1|1|1|4/2days|40000|1|
3-* Scion Technologies Dust Devil  17|5/4|35/105|2|2|1|1|4/2days|46000|1|
3-* Sport Eurasia "Microbike"      17|4/12|35/105|1|0|5|0|2/1day|1000|.75|
3-* Suzuki 500ET                   17|3/6|90/270|1|2|2|3|2/1day|25000|1|
3-* Suzuki Aurora                  17|2/4|70/210|1|0|1|1|2/1day|15000|1|
3-* Thundercload Pinto             17|4/2|20/60|3|0|2|0|3/2days|35000|2|
3-* VW City Scooter                17|3/9|25/50|2|0|4|2|2/1day|6500|.75|
3-* Yamaha Rapier                  17|3/6|65/195|1|0|1|1|2/1day1|10000|1|
2-Trucks and all-terrain vehicles
3-* Ambunaught                     17|4/8|30/95|5|4|1|2|20/10days|200000|2|
3-* Ares Roadmaster                17|4/10|30/90|4|0|2|2|4/2days|45000|1|
3-* Conestoga Trailblazer          17|4/8|30/90|5|0|2|2|15/7days|150000|2|
3-* Eurocar Blitz II               17|4/9|35/100|3|0|3|2|3/1day|32000|1|
3-* Ford-Canada Bison              17|4/3|45/135|5|6|4|3|15/7days|150000|2|
3-* Gaz-Willy Nomad                17|3/3|30/90|3|0|2|2|5/3days|50000|2|
3-* GMC 4201                       17|3/6|35/85|5|3|2|2|7/4days|75000|2|
3-* GMC Bulldog Step-Van           17|4/6|35/85|4|3|2|2|3/2days|35000|1|
3-* GMC Bulldog Van (Courier)      17|4/8|35/85|4|6|1|2|6/3days|60000|2|
3-* GM/Hyundai Worker Bee          17|4/10|10/30|2|2|1|3|15/7days|150000|2|
3-* Landrover 2046 (short)         17|3/3|30/90|2|0|2|1|3/2days|35000|1|
3-* Landrover 2046 (long)          17|3/3|30/90|3|0|2|2|4/2days|45000|1|
3-* Leyland-Rover Transport        17|4/8|25/75|3|0|5|2|2/1day|25000|1|
3-* New American Motors "Vulture"  17|6/11|35/105|5|4|2|0|21/10days|215000|2|
3-* Nissan-Holden Brumbry          17|4/3|30/90|2|0|2|2|2/1day|25000|1|
3-* Nordkapp-Conestoga (Command)   17|3/6|30/90|6|6|2|4|60/30days|600000|2|
3-* Nordkapp-Conestoga (Cargo)     17|3/6|30/90|5|3|2|0|20/10days|200000|2|
3-* Renault Fiat Eurovan           17|4/10|35/105|3|0|2|1|2/1day|25000|1|
3-* Rolls-Royce Prairie Cat        17|2/3|40/120|3|3|2|3|2/1day|275000|2|
3-* Spinelli Autotech "Nomad"      17|4/2|45/135|2|1|3|2|5/2days|55000|2|
3-* ToyotaCorp Gopher              17|4/4|35/105|2|0|2|2|2/1day|25000|1|
3-* Volkswagon SuperKombi III      17|4/8|35/105|2|0|2|2|2/1day|25000|1|
3-* VW TT50 ATV                    17|3/3|40/100|3|3|2|2|3/1days|39000|1|
3-* Yakurichi-Ural BR70            17|3/6|50/150|4|4|2|4|12/6days|120000|2|
2-Hovercraft
3-* Bensen Cascade                 17|7|115/350|2|1|2|2|20/10days|200000|2|
3-* Bensen Violator                17|4|65/200|1|0|2|2|10/5days|100000|2|
3-* Chrysler-Nissan G12a           17|4|40/120|4|0|5|2|5/2days|50000|2|
3-* Dornier Manta                  17|3|60/150|4|0|4|2|8/4days|80000|2|
3-* GMC-Beachcraft Vacationer      17|4|35/120|4|0|3|3|10/5days|100000|2|
3-* GMC-Nissan Hovertruck          17|4|40/120|4|0|5|1|10/5days|100000|2|
3-* MAN Titan                      17|4|40/120|5|0|2|1|14/7days|140000|2|
3-* MK QuietGlide                  17|4|40/110|4|0|4|2|10/5ays|100000|2|
3-* Mostrans KVP-14T               17|4|60/180|4|0|3|1|25/12days|250000+|2|
3-* MosTrans KVT-2                 17|5|35/105|14|30|3|4|9000/3000days|90000000|2|
3-* Nissan Ford FanMaster          17|5(6)|35/135(3/7)|3|2|4|2|20/10days|200000|2|
2-Watercraft
3-Water jet bike
4-* Suzuki Watersport              17|2|15/45|1|0|3|0|2/1day|12000|1|
3-Motorboats
4-* Aztech Nightrunner             17|3|25/75|2|0|4|3|3/1day|30000|1|
4-* Blohm & Voss Gondola III       17|3|20/50|3|0|3|2|3/1day|32000|1|
4-* Colorado Craft Cigarette       17|4/5|25/75|2|0|3|2|3/1day|35000|1|
4-* Dornier-Zeppelin Hecht         17|3|15/40|2|0|4|`|2/1day|18000|1|
4-* Marine Tech Dolphine II        17|3|15/45|3|0|3|2|5/2days|50000|2|
4-* Harland & Wolff Classique      17|5|15/45|6|0|2|4|35/17days|3500000|2|
4-* Samuvani Criscraft Otter       17|4|15/45|2|0|3|2|2/1day|20000|1|
4-* Vulkan Delphin RQ7             17|4|20/50|4|9|5|1|40/20days|400000|2|
4-* Vulkan Electronaut             17|4|15/40|3|3|6|1|12/6days|120000|2|
4-* Zemlya-Poltava Swordsman       17|4|25/75|2|0|5|0|3/1day|30000|1|
3-Sailboats
4-* Sendanko Marlin                17|2|20/30|2|0|5|0|2/1day|15000|1|
2-Winged planes
3-* Airbus A110                    17|5|420/550|6|0|3|3|90/45days|900000|2|
3-* Cessna C750                    17|5|340/680|3|0|2|2|20/10days|200000|2|
3-* Dornier Europa                 17|4|380/580|4|0|3|3|33/16days|330000|2|
3-* Dornier K2                     17|4|120/300|3|3|6|1|17/8days|170000|2|
3-* Dornier Wal II                 17|4|320/480|7|0|3|2|85/42days|850000|2|
3-* Embraer-Dessault Mistral       17|4|300/450|4|0|3|2|37/18days|375000|2|
3-* Federated Boeing Eagle         17|3|900/1800|5|12|5|3|500/250days|50000000|-|
3-* Fiat-Fokker Cloud Nine         17|4|300/450|3|0|3|2|17/8days|175000|2|
3-* Hawker-Ridley HS-895           17|5|400/600|5|0|3|2|250/125days|2500000|2|
3-* Lear Cessna Platinum I         17|4|400/550|5|0|3|3|50/10days|500000|2|
3-* Lear Cessna Platinum II        17|5|800/1600|5|3|3|4|150/75days|1500000|2|
